2026-02-15 01:37:29 | ERROR    | __main__:main:628 | Invalid configuration: Need 0 < alpha1 < alpha2 < 1, got alpha1=0.2, alpha2=0.1
2026-02-15 01:37:41 | ERROR    | __main__:main:628 | Invalid configuration: Need 0 < alpha1 < alpha2 < 1, got alpha1=0.2, alpha2=0.1
2026-02-15 01:38:03 | INFO     | __main__:_fetch_from_yahoo:234 | Downloading data for 30 symbols with interval 1h...
2026-02-15 01:38:08 | INFO     | __main__:download_data:308 | Cached data to data/cache/prices_aaa7546c13b8.parquet
2026-02-15 01:38:08 | INFO     | __main__:main:642 | Data: 5069 bars, 2023-03-20 13:30:00+00:00 -> 2026-02-13 20:30:00+00:00
2026-02-15 01:38:08 | WARNING  | src.strategy_core:select_trading_pair:127 | No cointegrated pairs found
2026-02-15 01:38:08 | WARNING  | src.strategy_core:select_trading_pair:127 | No cointegrated pairs found
2026-02-15 01:38:08 | WARNING  | src.strategy_core:select_trading_pair:127 | No cointegrated pairs found
2026-02-15 01:38:08 | WARNING  | src.strategy_core:select_trading_pair:127 | No cointegrated pairs found
2026-02-15 01:38:08 | WARNING  | src.strategy_core:select_trading_pair:127 | No cointegrated pairs found
2026-02-15 01:38:08 | WARNING  | src.strategy_core:select_trading_pair:127 | No cointegrated pairs found
2026-02-15 01:38:08 | WARNING  | src.strategy_core:select_trading_pair:127 | No cointegrated pairs found
2026-02-15 01:38:08 | WARNING  | src.strategy_core:select_trading_pair:127 | No cointegrated pairs found
2026-02-15 01:38:08 | WARNING  | src.strategy_core:select_trading_pair:127 | No cointegrated pairs found
2026-02-15 01:38:08 | WARNING  | src.strategy_core:select_trading_pair:127 | No cointegrated pairs found
2026-02-15 01:38:08 | WARNING  | src.strategy_core:select_trading_pair:127 | No cointegrated pairs found
2026-02-15 01:38:08 | WARNING  | src.strategy_core:select_trading_pair:127 | No cointegrated pairs found
2026-02-15 01:38:08 | WARNING  | src.strategy_core:select_trading_pair:127 | No cointegrated pairs found
2026-02-15 01:38:08 | WARNING  | src.strategy_core:select_trading_pair:127 | No cointegrated pairs found
2026-02-15 01:38:09 | WARNING  | src.strategy_core:select_trading_pair:127 | No cointegrated pairs found
