reference,asset,beta,eg_pvalue,adf_pvalue,kss_stat,observations,score
Apple,LindeGroup,0.4544768590927074,3.90527998749212e-05,0.0021427277704213704,-2.3431790097152447,8465,0.23649968154182077
LindeGroup,Apple,2.072051151610907,2.6480327470631535e-05,8.784041043315365e-05,-2.4338646056362045,8465,0.24350078130152425
Apple,HomeDepot,0.5113407367891417,0.016150454209148474,0.024863747781163157,-2.517563200988705,11180,0.29277052208918214
HomeDepot,Apple,1.8307009734651087,0.006211978502846934,0.0038047734150784443,-2.8709624291613576,11180,0.2971129948340612
AmericanTower,Palladium,0.10274843270377242,0.04040960530002214,0.015282905110550622,-2.4662846092192425,6412,0.302320971332497
NaturalGas,BrentCrude,0.04781373615206118,0.0359962033141034,0.0074373460422707096,-2.611884568676922,4605,0.3046220062240663
Palladium,AmericanTower,8.76703243636119,0.022158648234926834,0.0068697667851138604,-2.9956697146478852,6412,0.3285953864848292
Alphabet,Caterpillar,0.502742123414612,0.004580599406547067,0.0025200805684311442,-3.409242668849601,5397,0.3480249468599383
VIX,Silver,0.7916047455423052,7.366938685255711e-07,0.04756581959399022,-3.107385419745603,6374,0.3583050982624191
Caterpillar,Alphabet,1.930334412089734,0.008531709107065273,0.0012174454214471957,-3.4869824392007387,5397,0.35844739844858636
Corn,BrentCrude,5.909109757160438,0.014908296693075434,0.0036711412600705508,-3.4441951489131166,4601,0.36299895284445766
CocaCola,ExxonMobil,0.5888156224029815,0.05716520396288166,0.01617435469067482,-2.959526603771402,16128,0.36929221903069664
ProctorGamble,JohnsonJohnson,0.8715570682537876,0.045139611188213795,0.014130856279317407,-3.114441298089717,16128,0.3707145972765029
Soybeans,BrentCrude,14.172829499115743,0.016888024591563362,0.011470889439999198,-3.5069790690383797,4603,0.3790568209354005
BrentCrude,Corn,0.1614929285410862,0.04456287047143203,0.0042513855208675235,-3.3651509272782922,4601,0.38532934872012875
BrentCrude,Soybeans,0.06765237053938719,0.0398699394084868,0.013668050371755273,-3.504643223183288,4603,0.40400231209857085
CocaCola,DAX,0.003095886438749015,0.012903330598229852,0.004150543632618238,-3.8809567642580607,9394,0.40514955065665414
Microsoft,LindeGroup,0.8858485823534008,0.0023069784184860664,0.002686494073115277,-4.0234298380166695,8465,0.4073364562932683
JohnsonJohnson,Russell2000,0.06930306549329175,2.8053363976541812e-05,0.009921084043288224,-3.989642709676059,9671,0.40891340837487067
ExxonMobil,SP500,0.019554927418321037,0.09680891851900358,0.02702268038403275,-2.8730072667194193,16128,0.41113232557497825
HomeDepot,JohnsonJohnson,1.7198873473050216,0.03942217757043207,0.023494655665303302,-3.5548610333796544,11180,0.4184029365737008
Boeing,ProctorGamble,1.7153270382508703,0.04065668414400433,0.010813383301210823,-3.685397534363944,16128,0.42000982088160954
NaturalGas,CrudeOilWTI,0.06175630563968737,0.07589761289610598,0.02250650375228399,-3.248416616092683,6382,0.4232457782576583
Russell2000,Chevron,16.17926972635584,0.021910325467337056,0.014499266751578765,-3.881904746363038,9671,0.4246000668552196
NaturalGas,Wheat,0.0073912957083045175,0.08843308012866319,0.024810792476693037,-3.1364632392192,6351,0.4268901965272762
LindeGroup,Microsoft,1.076510532550831,0.0026751412200778785,0.0007587275567643382,-4.242732915258178,8465,0.42770716030266
JPMorgan,Meta,0.43140487217233764,0.02458364878086509,0.007879863047230663,-3.966942364959683,3445,0.42915774832406406
NaturalGas,Palladium,0.0027963481950355343,0.003085565074674174,0.08897913558686138,-3.395658830247934,5934,0.43163058368632895
Boeing,JohnsonJohnson,1.5687838038709159,0.014645746146115909,0.0034923402689753234,-4.135329969306267,16128,0.4316710833457179
DAX,CocaCola,315.15615050551594,0.017288016295718068,0.0031422562800165576,-4.170794038426589,9394,0.43750967641839356
Russell2000,DAX,0.11594849146606578,0.04813012399781375,0.012760943273792619,-3.80006750351473,9394,0.4408978176230794
CocaCola,NASDAQ,0.004050319106340967,0.02408004837951525,0.023177205575240445,-3.967307278132865,13863,0.4439879817680422
Russell2000,JohnsonJohnson,14.049796535552659,1.006032604044811e-05,0.0021057947623092346,-4.419940825810104,9671,0.4441099376693601
Boeing,CocaCola,4.031028238955103,0.04085126569768966,0.010085688647347532,-3.9466445674325996,16128,0.44560141108829715
ProctorGamble,Chevron,1.0099735399572594,0.003038060466651212,0.0005424606921615443,-4.433324512096024,16128,0.44691297236841515
Chevron,NextEraEnergy,1.9773459291302984,0.06217480365705664,0.014264334303156692,-3.730115251909209,13349,0.44945066315113424
JohnsonJohnson,Chevron,1.1438474450499319,0.014746434072725311,0.002871594986243918,-4.3199127195825655,16128,0.4496093010172258
NaturalGas,HangSeng,0.00019289598911042345,0.04230467173206517,0.06484041915371767,-3.4557179031060996,6092,0.4527168811963928
Chevron,DAX,0.006831602705464096,0.04263172300892899,0.03132956992433972,-3.8107772798377595,9394,0.4550390209170446
NaturalGas,Corn,0.009083768854077067,0.09503685336816026,0.04595323633439229,-3.1659790281974796,6340,0.45758799252230054
JohnsonJohnson,HomeDepot,0.5313072799308932,0.07917436026148245,0.010740348300942833,-3.730492585239163,11180,0.4629639670863416
Meta,JPMorgan,2.245842072910643,0.016002044386060937,0.01983222440632723,-4.277752957210578,3445,0.4636095645134459
DAX,Russell2000,8.437545112238599,0.08523743196976369,0.014855011509033449,-3.639975607921398,9394,0.46409000427093694
DAX,JohnsonJohnson,118.47406199894132,0.012498024435984129,0.029877221322627698,-4.235875861045271,9394,0.4659628318631389
Disney,JohnsonJohnson,0.8466433421001188,0.06102141251099423,0.02471121835105147,-3.812805712154485,16128,0.4670132020774942
JohnsonJohnson,DAX,0.008032600746582123,0.018445426486660716,0.07608898777813985,-3.751146588233887,9394,0.46964907308818926
NaturalGas,Soybeans,0.0038506276056297687,0.06476694095517577,0.07954633487794277,-3.2626913906369537,6363,0.4705824148968139
Disney,CocaCola,2.1896004930145407,0.028106304892053756,0.006644115150636525,-4.427291091211249,16128,0.47747952916381514
DAX,Chevron,137.57086996754228,0.05394371190752942,0.01627439190650045,-4.080704387662189,9394,0.47828854258024883
AmericanTower,Disney,1.3743543046822848,0.018963378913810714,0.012420514726150921,-4.537783378628105,7025,0.48516223150277216
Chevron,ProctorGamble,0.9510758885455686,0.005523635651545445,0.0007917865811359513,-4.83207874600823,16128,0.48952329683350443
Disney,AmericanTower,0.6659420670179559,0.012150316490520932,0.004781291046582207,-4.769713340647171,7025,0.4939029416018203
VIX,Meta,0.04892968361122855,2.0274401241035276e-07,0.001580076330534084,-5.006274531747533,3445,0.5022077322492997
Chevron,Russell2000,0.05840215084251305,0.034533561980093753,0.03424543696129457,-4.34081785817309,9671,0.5028607847586973
CocaCola,HomeDepot,0.19905132668974584,0.0378111767416716,0.01995218560450216,-4.480647324916241,11180,0.5058280948377979
Boeing,Disney,1.8185341635343815,0.001960840312079326,0.00033499809719715064,-5.067701313616381,16128,0.5090659697709147
HomeDepot,Chevron,1.9607340029456215,0.09668973239307666,0.07351290465538517,-3.3946192303194946,11180,0.5096645600804113
NaturalGas,Platinum,0.0034612335447110985,0.029198862811699127,0.021340345816899024,-4.622772278693162,5695,0.5128164364979144
NextEraEnergy,Amazon,0.41896909580930414,0.025446311310874034,0.018109351151316306,-4.708161546766329,7223,0.5143718171388232
VIX,Alphabet,0.15529559384738986,4.661814612309129e-06,0.0194674262062653,-4.955016829679801,5397,0.5149737709888577
HomeDepot,Amazon,1.8873993659876531,0.0012579643220330611,0.0023137673284018487,-5.122151995899732,7223,0.5157869312404081
